Token        | Line  | Depth | Parent
--------------------------------------------------
<div         | 1     | 1     | Root
<div         | 32    | 2     | <div
<div         | 34    | 3     | <div
<div         | 36    | 4     | <div
<div         | 39    | 5     | <div
@foreach     | 43    | 6     | <div
@endforeach  | 45    | 6     | Closes @foreach from 43
<div         | 47    | 6     | <div
</div>       | 49    | 6     | Closes <div from 47
</div>       | 50    | 5     | Closes <div from 39
<div         | 54    | 5     | <div
<div         | 56    | 6     | <div
<div         | 66    | 7     | <div
</div>       | 68    | 7     | Closes <div from 66
</div>       | 69    | 6     | Closes <div from 56
</div>       | 70    | 5     | Closes <div from 54
@if          | 72    | 5     | <div
<div         | 73    | 6     | @if
<div         | 74    | 7     | <div
</div>       | 78    | 7     | Closes <div from 74
<div         | 79    | 7     | <div
</div>       | 83    | 7     | Closes <div from 79
</div>       | 84    | 6     | Closes <div from 73
@endif       | 85    | 5     | Closes @if from 72
</div>       | 86    | 4     | Closes <div from 36
</div>       | 87    | 3     | Closes <div from 34
<div         | 90    | 3     | <div
<div         | 92    | 4     | <div
<div         | 93    | 5     | <div
</div>       | 96    | 5     | Closes <div from 93
<div         | 97    | 5     | <div
</div>       | 100   | 5     | Closes <div from 97
</div>       | 101   | 4     | Closes <div from 92
<div         | 103   | 4     | <div
</div>       | 103   | 4     | Closes <div from 103
<div         | 106   | 4     | <div
<div         | 107   | 5     | <div
</div>       | 110   | 5     | Closes <div from 107
<div         | 111   | 5     | <div
</div>       | 114   | 5     | Closes <div from 111
</div>       | 115   | 4     | Closes <div from 106
</div>       | 116   | 3     | Closes <div from 90
</div>       | 117   | 2     | Closes <div from 32
<div         | 120   | 2     | <div
<div         | 121   | 3     | <div
<div         | 124   | 4     | <div
<div         | 126   | 5     | <div
<div         | 127   | 6     | <div
</div>       | 129   | 6     | Closes <div from 127
<div         | 130   | 6     | <div
@foreach     | 140   | 7     | <div
<div         | 141   | 8     | @foreach
</div>       | 144   | 8     | Closes <div from 141
@endforeach  | 145   | 7     | Closes @foreach from 140
</div>       | 146   | 6     | Closes <div from 130
</div>       | 147   | 5     | Closes <div from 126
<div         | 150   | 5     | <div
<div         | 151   | 6     | <div
</div>       | 153   | 6     | Closes <div from 151
<div         | 154   | 6     | <div
@foreach     | 155   | 7     | <div
<div         | 156   | 8     | @foreach
<div         | 157   | 9     | <div
</div>       | 159   | 9     | Closes <div from 157
<div         | 160   | 9     | <div
</div>       | 162   | 9     | Closes <div from 160
</div>       | 163   | 8     | Closes <div from 156
@endforeach  | 164   | 7     | Closes @foreach from 155
</div>       | 165   | 6     | Closes <div from 154
</div>       | 166   | 5     | Closes <div from 150
</div>       | 167   | 4     | Closes <div from 124
<div         | 170   | 4     | <div
@foreach     | 171   | 5     | <div
<div         | 172   | 6     | @foreach
<div         | 174   | 7     | <div
<div         | 175   | 8     | <div
</div>       | 175   | 8     | Closes <div from 175
<div         | 176   | 8     | <div
<div         | 177   | 9     | <div
</div>       | 179   | 9     | Closes <div from 177
<div         | 180   | 9     | <div
</div>       | 183   | 9     | Closes <div from 180
</div>       | 184   | 8     | Closes <div from 176
</div>       | 185   | 7     | Closes <div from 174
<div         | 188   | 7     | <div
<div         | 190   | 8     | <div
@foreach     | 191   | 9     | <div
<div         | 192   | 10    | @foreach
</div>       | 192   | 10    | Closes <div from 192
@endforeach  | 193   | 9     | Closes @foreach from 191
</div>       | 194   | 8     | Closes <div from 190
@foreach     | 197   | 8     | <div
<div         | 232   | 9     | @foreach
<div         | 255   | 10    | <div
<div         | 256   | 11    | <div
<div         | 257   | 12    | <div
</div>       | 257   | 12    | Closes <div from 257
<div         | 258   | 12    | <div
@if          | 262   | 13    | <div
@endif       | 267   | 13    | Closes @if from 262
</div>       | 268   | 12    | Closes <div from 258
</div>       | 269   | 11    | Closes <div from 256
<div         | 272   | 11    | <div
<div         | 273   | 12    | <div
</div>       | 277   | 12    | Closes <div from 273
@if          | 278   | 12    | <div
@endif       | 282   | 12    | Closes @if from 278
</div>       | 283   | 11    | Closes <div from 272
</div>       | 284   | 10    | Closes <div from 255
</div>       | 285   | 9     | Closes <div from 232
@endforeach  | 286   | 8     | Closes @foreach from 197
</div>       | 287   | 7     | Closes <div from 188
</div>       | 288   | 6     | Closes <div from 172
@endforeach  | 289   | 5     | Closes @foreach from 171
</div>       | 290   | 4     | Closes <div from 170
</div>       | 291   | 3     | Closes <div from 121
</div>       | 292   | 2     | Closes <div from 120
<div         | 295   | 2     | <div
<div         | 296   | 3     | <div
<div         | 297   | 4     | <div
</div>       | 297   | 4     | Closes <div from 297
</div>       | 299   | 3     | Closes <div from 296
<div         | 300   | 3     | <div
<div         | 301   | 4     | <div
</div>       | 301   | 4     | Closes <div from 301
</div>       | 303   | 3     | Closes <div from 300
<div         | 304   | 3     | <div
<div         | 305   | 4     | <div
</div>       | 305   | 4     | Closes <div from 305
</div>       | 307   | 3     | Closes <div from 304
</div>       | 308   | 2     | Closes <div from 295
<div         | 311   | 2     | <div
<div         | 314   | 3     | <div
<div         | 315   | 4     | <div
<div         | 316   | 5     | <div
<div         | 317   | 6     | <div
</div>       | 319   | 6     | Closes <div from 317
<div         | 320   | 6     | <div
</div>       | 323   | 6     | Closes <div from 320
</div>       | 324   | 5     | Closes <div from 316
<div         | 325   | 5     | <div
</div>       | 331   | 5     | Closes <div from 325
</div>       | 332   | 4     | Closes <div from 315
@if          | 334   | 4     | <div
<div         | 335   | 5     | @if
@foreach     | 336   | 6     | <div
<div         | 337   | 7     | @foreach
<div         | 342   | 8     | <div
<div         | 343   | 9     | <div
<div         | 344   | 10    | <div
@foreach     | 345   | 11    | <div
<div         | 346   | 12    | @foreach
</div>       | 350   | 12    | Closes <div from 346
@endforeach  | 351   | 11    | Closes @foreach from 345
</div>       | 352   | 10    | Closes <div from 344
<div         | 353   | 10    | <div
</div>       | 355   | 10    | Closes <div from 353
<div         | 356   | 10    | <div
</div>       | 362   | 10    | Closes <div from 356
</div>       | 363   | 9     | Closes <div from 343
</div>       | 364   | 8     | Closes <div from 342
<div         | 366   | 8     | <div
<div         | 368   | 9     | <div
</div>       | 383   | 9     | Closes <div from 368
<div         | 384   | 9     | <div
</div>       | 387   | 9     | Closes <div from 384
</div>       | 388   | 8     | Closes <div from 366
</div>       | 389   | 7     | Closes <div from 337
<div         | 392   | 7     | @foreach
<div         | 393   | 8     | <div
<div         | 394   | 9     | <div
<div         | 396   | 10    | <div
<div         | 397   | 11    | <div
