Token        | Line  | Depth | Parent
--------------------------------------------------
<div         | 1     | 1     | Root
<div         | 32    | 2     | <div
<div         | 34    | 3     | <div
<div         | 36    | 4     | <div
<div         | 39    | 5     | <div
@foreach     | 43    | 6     | <div
@endforeach  | 45    | 6     | Closes @foreach from 43
<div         | 47    | 6     | <div
</div>       | 49    | 6     | Closes <div from 47
</div>       | 50    | 5     | Closes <div from 39
</div>       | 51    | 4     | Closes <div from 36
<div         | 54    | 4     | <div
<div         | 56    | 5     | <div
<div         | 66    | 6     | <div
</div>       | 68    | 6     | Closes <div from 66
</div>       | 69    | 5     | Closes <div from 56
</div>       | 70    | 4     | Closes <div from 54
@if          | 72    | 4     | <div
<div         | 73    | 5     | @if
<div         | 74    | 6     | <div
</div>       | 78    | 6     | Closes <div from 74
<div         | 79    | 6     | <div
</div>       | 83    | 6     | Closes <div from 79
</div>       | 84    | 5     | Closes <div from 73
@endif       | 85    | 4     | Closes @if from 72
</div>       | 86    | 3     | Closes <div from 34
<div         | 89    | 3     | <div
<div         | 91    | 4     | <div
<div         | 92    | 5     | <div
</div>       | 95    | 5     | Closes <div from 92
<div         | 96    | 5     | <div
</div>       | 99    | 5     | Closes <div from 96
</div>       | 100   | 4     | Closes <div from 91
<div         | 102   | 4     | <div
</div>       | 102   | 4     | Closes <div from 102
<div         | 105   | 4     | <div
<div         | 106   | 5     | <div
</div>       | 109   | 5     | Closes <div from 106
<div         | 110   | 5     | <div
</div>       | 113   | 5     | Closes <div from 110
</div>       | 114   | 4     | Closes <div from 105
</div>       | 115   | 3     | Closes <div from 89
</div>       | 116   | 2     | Closes <div from 32
<div         | 119   | 2     | <div
<div         | 120   | 3     | <div
<div         | 123   | 4     | <div
<div         | 125   | 5     | <div
<div         | 126   | 6     | <div
</div>       | 128   | 6     | Closes <div from 126
<div         | 129   | 6     | <div
@foreach     | 139   | 7     | <div
<div         | 140   | 8     | @foreach
</div>       | 143   | 8     | Closes <div from 140
@endforeach  | 144   | 7     | Closes @foreach from 139
</div>       | 145   | 6     | Closes <div from 129
</div>       | 146   | 5     | Closes <div from 125
<div         | 149   | 5     | <div
<div         | 150   | 6     | <div
</div>       | 152   | 6     | Closes <div from 150
<div         | 153   | 6     | <div
@foreach     | 154   | 7     | <div
<div         | 155   | 8     | @foreach
<div         | 156   | 9     | <div
</div>       | 158   | 9     | Closes <div from 156
<div         | 159   | 9     | <div
</div>       | 161   | 9     | Closes <div from 159
</div>       | 162   | 8     | Closes <div from 155
@endforeach  | 163   | 7     | Closes @foreach from 154
</div>       | 164   | 6     | Closes <div from 153
</div>       | 165   | 5     | Closes <div from 149
</div>       | 166   | 4     | Closes <div from 123
<div         | 169   | 4     | <div
@foreach     | 170   | 5     | <div
<div         | 171   | 6     | @foreach
<div         | 173   | 7     | <div
<div         | 174   | 8     | <div
</div>       | 174   | 8     | Closes <div from 174
<div         | 175   | 8     | <div
<div         | 176   | 9     | <div
</div>       | 178   | 9     | Closes <div from 176
<div         | 179   | 9     | <div
</div>       | 182   | 9     | Closes <div from 179
</div>       | 183   | 8     | Closes <div from 175
</div>       | 184   | 7     | Closes <div from 173
<div         | 187   | 7     | <div
<div         | 189   | 8     | <div
@foreach     | 190   | 9     | <div
<div         | 191   | 10    | @foreach
</div>       | 191   | 10    | Closes <div from 191
@endforeach  | 192   | 9     | Closes @foreach from 190
</div>       | 193   | 8     | Closes <div from 189
@foreach     | 196   | 8     | <div
<div         | 231   | 9     | @foreach
<div         | 254   | 10    | <div
<div         | 255   | 11    | <div
<div         | 256   | 12    | <div
</div>       | 256   | 12    | Closes <div from 256
<div         | 257   | 12    | <div
@if          | 261   | 13    | <div
@endif       | 266   | 13    | Closes @if from 261
</div>       | 267   | 12    | Closes <div from 257
</div>       | 268   | 11    | Closes <div from 255
<div         | 271   | 11    | <div
<div         | 272   | 12    | <div
</div>       | 276   | 12    | Closes <div from 272
@if          | 277   | 12    | <div
@endif       | 281   | 12    | Closes @if from 277
</div>       | 282   | 11    | Closes <div from 271
</div>       | 283   | 10    | Closes <div from 254
</div>       | 284   | 9     | Closes <div from 231
@endforeach  | 285   | 8     | Closes @foreach from 196
</div>       | 286   | 7     | Closes <div from 187
</div>       | 287   | 6     | Closes <div from 171
@endforeach  | 288   | 5     | Closes @foreach from 170
</div>       | 289   | 4     | Closes <div from 169
</div>       | 290   | 3     | Closes <div from 120
</div>       | 291   | 2     | Closes <div from 119
<div         | 294   | 2     | <div
<div         | 295   | 3     | <div
<div         | 296   | 4     | <div
</div>       | 296   | 4     | Closes <div from 296
</div>       | 298   | 3     | Closes <div from 295
<div         | 299   | 3     | <div
<div         | 300   | 4     | <div
</div>       | 300   | 4     | Closes <div from 300
</div>       | 302   | 3     | Closes <div from 299
<div         | 303   | 3     | <div
<div         | 304   | 4     | <div
</div>       | 304   | 4     | Closes <div from 304
</div>       | 306   | 3     | Closes <div from 303
</div>       | 307   | 2     | Closes <div from 294
<div         | 310   | 2     | <div
<div         | 313   | 3     | <div
<div         | 314   | 4     | <div
<div         | 315   | 5     | <div
<div         | 316   | 6     | <div
</div>       | 318   | 6     | Closes <div from 316
<div         | 319   | 6     | <div
</div>       | 322   | 6     | Closes <div from 319
</div>       | 323   | 5     | Closes <div from 315
<div         | 324   | 5     | <div
</div>       | 330   | 5     | Closes <div from 324
</div>       | 331   | 4     | Closes <div from 314
@if          | 333   | 4     | <div
<div         | 334   | 5     | @if
@foreach     | 335   | 6     | <div
<div         | 336   | 7     | @foreach
<div         | 341   | 8     | <div
<div         | 342   | 9     | <div
<div         | 343   | 10    | <div
@foreach     | 344   | 11    | <div
<div         | 345   | 12    | @foreach
</div>       | 349   | 12    | Closes <div from 345
@endforeach  | 350   | 11    | Closes @foreach from 344
</div>       | 351   | 10    | Closes <div from 343
<div         | 352   | 10    | <div
</div>       | 354   | 10    | Closes <div from 352
<div         | 355   | 10    | <div
</div>       | 361   | 10    | Closes <div from 355
</div>       | 362   | 9     | Closes <div from 342
<div         | 364   | 9     | <div
<div         | 366   | 10    | <div
</div>       | 381   | 10    | Closes <div from 366
<div         | 382   | 10    | <div
</div>       | 385   | 10    | Closes <div from 382
</div>       | 386   | 9     | Closes <div from 364
</div>       | 387   | 8     | Closes <div from 341
<div         | 390   | 8     | <div
<div         | 391   | 9     | <div
<div         | 392   | 10    | <div
<div         | 394   | 11    | <div
<div         | 395   | 12    | <div
</div>       | 398   | 12    | Closes <div from 395
