Line  | Token        | Stack Depth  | Top of Stack
------------------------------------------------------------
1     | <div         | 1            | <div
32    | <div         | 2            | <div
34    | <div         | 3            | <div
36    | <div         | 4            | <div
39    | <div         | 5            | <div
43    | @foreach     | 6            | @foreach
45    | @endforeach  | 5            | Closed @foreach from 43
47    | <div         | 6            | <div
49    | </div        | 5            | Closed <div from 47
50    | </div        | 4            | Closed <div from 39
54    | <div         | 5            | <div
56    | <div         | 6            | <div
66    | <div         | 7            | <div
68    | </div        | 6            | Closed <div from 66
69    | </div        | 5            | Closed <div from 56
70    | </div        | 4            | Closed <div from 54
72    | @if          | 5            | @if
73    | <div         | 6            | <div
74    | <div         | 7            | <div
78    | </div        | 6            | Closed <div from 74
79    | <div         | 7            | <div
83    | </div        | 6            | Closed <div from 79
84    | </div        | 5            | Closed <div from 73
85    | @endif       | 4            | Closed @if from 72
86    | </div        | 3            | Closed <div from 36
88    | </div        | 2            | Closed <div from 34
91    | <div         | 3            | <div
93    | <div         | 4            | <div
95    | <div         | 5            | <div
96    | <div         | 6            | <div
99    | </div        | 5            | Closed <div from 96
100   | <div         | 6            | <div
103   | </div        | 5            | Closed <div from 100
104   | </div        | 4            | Closed <div from 95
106   | <div         | 5            | <div
106   | </div        | 4            | Closed <div from 106
109   | <div         | 5            | <div
110   | <div         | 6            | <div
113   | </div        | 5            | Closed <div from 110
114   | <div         | 6            | <div
117   | </div        | 5            | Closed <div from 114
118   | </div        | 4            | Closed <div from 109
119   | </div        | 3            | Closed <div from 93
121   | <div         | 4            | <div
124   | <div         | 5            | <div
126   | <div         | 6            | <div
127   | <div         | 7            | <div
129   | </div        | 6            | Closed <div from 127
130   | <div         | 7            | <div
140   | @foreach     | 8            | @foreach
141   | <div         | 9            | <div
144   | </div        | 8            | Closed <div from 141
145   | @endforeach  | 7            | Closed @foreach from 140
146   | </div        | 6            | Closed <div from 130
147   | </div        | 5            | Closed <div from 126
150   | <div         | 6            | <div
151   | <div         | 7            | <div
153   | </div        | 6            | Closed <div from 151
154   | <div         | 7            | <div
155   | @foreach     | 8            | @foreach
156   | <div         | 9            | <div
157   | <div         | 10           | <div
159   | </div        | 9            | Closed <div from 157
160   | <div         | 10           | <div
162   | </div        | 9            | Closed <div from 160
163   | </div        | 8            | Closed <div from 156
164   | @endforeach  | 7            | Closed @foreach from 155
165   | </div        | 6            | Closed <div from 154
166   | </div        | 5            | Closed <div from 150
167   | </div        | 4            | Closed <div from 124
170   | <div         | 5            | <div
171   | @foreach     | 6            | @foreach
172   | <div         | 7            | <div
174   | <div         | 8            | <div
175   | <div         | 9            | <div
175   | </div        | 8            | Closed <div from 175
176   | <div         | 9            | <div
177   | <div         | 10           | <div
179   | </div        | 9            | Closed <div from 177
180   | <div         | 10           | <div
183   | </div        | 9            | Closed <div from 180
184   | </div        | 8            | Closed <div from 176
185   | </div        | 7            | Closed <div from 174
188   | <div         | 8            | <div
190   | <div         | 9            | <div
191   | @foreach     | 10           | @foreach
192   | <div         | 11           | <div
192   | </div        | 10           | Closed <div from 192
193   | @endforeach  | 9            | Closed @foreach from 191
194   | </div        | 8            | Closed <div from 190
197   | @foreach     | 9            | @foreach
232   | <div         | 10           | <div
255   | <div         | 11           | <div
256   | <div         | 12           | <div
257   | <div         | 13           | <div
257   | </div        | 12           | Closed <div from 257
258   | <div         | 13           | <div
262   | @if          | 14           | @if
267   | @endif       | 13           | Closed @if from 262
268   | </div        | 12           | Closed <div from 258
269   | </div        | 11           | Closed <div from 256
272   | <div         | 12           | <div
273   | <div         | 13           | <div
277   | </div        | 12           | Closed <div from 273
278   | @if          | 13           | @if
282   | @endif       | 12           | Closed @if from 278
283   | </div        | 11           | Closed <div from 272
284   | </div        | 10           | Closed <div from 255
285   | </div        | 9            | Closed <div from 232
286   | @endforeach  | 8            | Closed @foreach from 197
287   | </div        | 7            | Closed <div from 188
288   | </div        | 6            | Closed <div from 172
289   | @endforeach  | 5            | Closed @foreach from 171
290   | </div        | 4            | Closed <div from 170
291   | </div        | 3            | Closed <div from 121
292   | </div        | 2            | Closed <div from 91
295   | <div         | 3            | <div
296   | <div         | 4            | <div
297   | <div         | 5            | <div
297   | </div        | 4            | Closed <div from 297
299   | </div        | 3            | Closed <div from 296
300   | <div         | 4            | <div
301   | <div         | 5            | <div
301   | </div        | 4            | Closed <div from 301
303   | </div        | 3            | Closed <div from 300
304   | <div         | 4            | <div
305   | <div         | 5            | <div
305   | </div        | 4            | Closed <div from 305
307   | </div        | 3            | Closed <div from 304
308   | </div        | 2            | Closed <div from 295
311   | <div         | 3            | <div
314   | <div         | 4            | <div
315   | <div         | 5            | <div
316   | <div         | 6            | <div
317   | <div         | 7            | <div
319   | </div        | 6            | Closed <div from 317
320   | <div         | 7            | <div
323   | </div        | 6            | Closed <div from 320
324   | </div        | 5            | Closed <div from 316
325   | <div         | 6            | <div
331   | </div        | 5            | Closed <div from 325
332   | </div        | 4            | Closed <div from 315
334   | @if          | 5            | @if
335   | <div         | 6            | <div
336   | @foreach     | 7            | @foreach
337   | <div         | 8            | <div
342   | <div         | 9            | <div
343   | <div         | 10           | <div
