Line  | Token        | Stack Depth  | Top of Stack
------------------------------------------------------------
1     | <div         | 1            | <div
32    | <div         | 2            | <div
34    | <div         | 3            | <div
36    | <div         | 4            | <div
39    | <div         | 5            | <div
43    | @foreach     | 6            | @foreach
45    | @endforeach  | 5            | Closed @foreach from 43
47    | <div         | 6            | <div
49    | </div        | 5            | Closed <div from 47
50    | </div        | 4            | Closed <div from 39
54    | <div         | 5            | <div
56    | <div         | 6            | <div
66    | <div         | 7            | <div
68    | </div        | 6            | Closed <div from 66
69    | </div        | 5            | Closed <div from 56
70    | </div        | 4            | Closed <div from 54
72    | @if          | 5            | @if
73    | <div         | 6            | <div
74    | <div         | 7            | <div
78    | </div        | 6            | Closed <div from 74
79    | <div         | 7            | <div
83    | </div        | 6            | Closed <div from 79
84    | </div        | 5            | Closed <div from 73
85    | @endif       | 4            | Closed @if from 72
86    | </div        | 3            | Closed <div from 36
89    | <div         | 4            | <div
91    | <div         | 5            | <div
92    | <div         | 6            | <div
95    | </div        | 5            | Closed <div from 92
96    | <div         | 6            | <div
99    | </div        | 5            | Closed <div from 96
100   | </div        | 4            | Closed <div from 91
102   | <div         | 5            | <div
102   | </div        | 4            | Closed <div from 102
105   | <div         | 5            | <div
106   | <div         | 6            | <div
109   | </div        | 5            | Closed <div from 106
110   | <div         | 6            | <div
113   | </div        | 5            | Closed <div from 110
114   | </div        | 4            | Closed <div from 105
115   | </div        | 3            | Closed <div from 89
116   | </div        | 2            | Closed <div from 34
119   | <div         | 3            | <div
120   | <div         | 4            | <div
123   | <div         | 5            | <div
125   | <div         | 6            | <div
126   | <div         | 7            | <div
128   | </div        | 6            | Closed <div from 126
129   | <div         | 7            | <div
139   | @foreach     | 8            | @foreach
140   | <div         | 9            | <div
143   | </div        | 8            | Closed <div from 140
144   | @endforeach  | 7            | Closed @foreach from 139
145   | </div        | 6            | Closed <div from 129
146   | </div        | 5            | Closed <div from 125
149   | <div         | 6            | <div
150   | <div         | 7            | <div
152   | </div        | 6            | Closed <div from 150
153   | <div         | 7            | <div
154   | @foreach     | 8            | @foreach
155   | <div         | 9            | <div
156   | <div         | 10           | <div
158   | </div        | 9            | Closed <div from 156
159   | <div         | 10           | <div
161   | </div        | 9            | Closed <div from 159
162   | </div        | 8            | Closed <div from 155
163   | @endforeach  | 7            | Closed @foreach from 154
164   | </div        | 6            | Closed <div from 153
165   | </div        | 5            | Closed <div from 149
166   | </div        | 4            | Closed <div from 123
169   | <div         | 5            | <div
170   | @foreach     | 6            | @foreach
171   | <div         | 7            | <div
173   | <div         | 8            | <div
174   | <div         | 9            | <div
174   | </div        | 8            | Closed <div from 174
175   | <div         | 9            | <div
176   | <div         | 10           | <div
178   | </div        | 9            | Closed <div from 176
179   | <div         | 10           | <div
182   | </div        | 9            | Closed <div from 179
183   | </div        | 8            | Closed <div from 175
184   | </div        | 7            | Closed <div from 173
187   | <div         | 8            | <div
189   | <div         | 9            | <div
190   | @foreach     | 10           | @foreach
191   | <div         | 11           | <div
191   | </div        | 10           | Closed <div from 191
192   | @endforeach  | 9            | Closed @foreach from 190
193   | </div        | 8            | Closed <div from 189
196   | @foreach     | 9            | @foreach
231   | <div         | 10           | <div
254   | <div         | 11           | <div
255   | <div         | 12           | <div
256   | <div         | 13           | <div
256   | </div        | 12           | Closed <div from 256
257   | <div         | 13           | <div
261   | @if          | 14           | @if
266   | @endif       | 13           | Closed @if from 261
267   | </div        | 12           | Closed <div from 257
268   | </div        | 11           | Closed <div from 255
271   | <div         | 12           | <div
272   | <div         | 13           | <div
276   | </div        | 12           | Closed <div from 272
277   | @if          | 13           | @if
281   | @endif       | 12           | Closed @if from 277
282   | </div        | 11           | Closed <div from 271
283   | </div        | 10           | Closed <div from 254
284   | </div        | 9            | Closed <div from 231
285   | @endforeach  | 8            | Closed @foreach from 196
286   | </div        | 7            | Closed <div from 187
287   | </div        | 6            | Closed <div from 171
288   | @endforeach  | 5            | Closed @foreach from 170
289   | </div        | 4            | Closed <div from 169
290   | </div        | 3            | Closed <div from 120
291   | </div        | 2            | Closed <div from 119
294   | <div         | 3            | <div
295   | <div         | 4            | <div
296   | <div         | 5            | <div
296   | </div        | 4            | Closed <div from 296
298   | </div        | 3            | Closed <div from 295
299   | <div         | 4            | <div
300   | <div         | 5            | <div
300   | </div        | 4            | Closed <div from 300
302   | </div        | 3            | Closed <div from 299
303   | <div         | 4            | <div
304   | <div         | 5            | <div
304   | </div        | 4            | Closed <div from 304
306   | </div        | 3            | Closed <div from 303
307   | </div        | 2            | Closed <div from 294
310   | <div         | 3            | <div
313   | <div         | 4            | <div
314   | <div         | 5            | <div
315   | <div         | 6            | <div
316   | <div         | 7            | <div
318   | </div        | 6            | Closed <div from 316
319   | <div         | 7            | <div
322   | </div        | 6            | Closed <div from 319
323   | </div        | 5            | Closed <div from 315
324   | <div         | 6            | <div
330   | </div        | 5            | Closed <div from 324
331   | </div        | 4            | Closed <div from 314
333   | @if          | 5            | @if
334   | <div         | 6            | <div
335   | @foreach     | 7            | @foreach
336   | <div         | 8            | <div
341   | <div         | 9            | <div
342   | <div         | 10           | <div
